organism_category,description,organism_name_examples
plesiomonas_shigelloides,,plesiomonas shigelloides
pluralibacter_gergoviae,,"pluralibacter gergoviae, rare pluralibacter gergoviae"
porphyromonas_asaccharolytica,,"porphyromonas asaccharolytica/uenonis, porphyromonas asaccharolytica"
porphyromonas_sp,Porphyromonas organism identified to the genus level only; species not further specified.,"many porphyromonas, porphyromonas"
prevotella_bivia,,"moderate prevotella bivia, prevotella bivia"
prevotella_buccae,,"prevotella buccae, rare prevotella buccae"
prevotella_denticola,,"moderate prevotella denticola, prevotella denticola"
prevotella_disiens,,"few prevotella disiens, prevotella disiens"
prevotella_intermedia,,"prevotella intermedia, few prevotella intermedia"
prevotella_melaninogenica,,"prevotella melaninogenica, prevotella melaninogenica group"
prevotella_nigrescens,,"prevotella nigrescens, moderate prevotella nigrescens"
prevotella_oralis,,prevotella oralis
prevotella_oris,,"many prevotella oris, moderate prevotella oris"
prevotella_sp,Prevotella organism identified to the genus level only; species not further specified.,"few prevotella, many prevotella"
propionibacterium_acnes,,propionibacterium acnes
propionibacterium_avidum,,propionibacterium avidum
propionibacterium_granulosum,,"cutibacterium granulosum (formerly propionibacterium granulosum), rare cutibacterium granulosum"
propionibacterium_sp,Propionibacterium organism identified to the genus level only; species not further specified.,propionibacterium species
proteus_mirabilis,,"1,000 - 10,000 cfu/ml proteus mirabilis, proteus mirabilis"
proteus_penneri,,"few proteus penneri, proteus penneri"
proteus_sp,Proteus organism identified to the genus level only; species not further specified.,"culture overgrown with proteus"
proteus_vulgaris,,"1,000 - 10,000 cfu/ml proteus vulgaris, moderate proteus vulgaris"
providencia_alcalifaciens,,
providencia_rettgeri,,"many providencia rettgeri, 10,000 - 49,000 cfu/ml providencia rettgeri"
providencia_sp,Providencia organism identified to the genus level only; species not further specified.,providencia 
providencia_stuartii,,"moderate providencia stuartii, >=100,000 cfu/ml providencia stuartii"
pseudallescheria_boydii,,pseudallescheria boydii
pseudoglutamicibacter_cumminsii,,"pseudoglutamicibacter cumminsii, 50,000 - 99,000 cfu/ml pseudoglutamicibacter cumminsii"
pseudomonas_aeruginosa,,"moderate pseudomonas aeruginosa, many pseudomonas aeruginosa"
pseudomonas_alcaligenes,,"pseudomonas alcaligenes, moderate pseudomonas alcaligenes"
pseudomonas_fluorescens,,"10,000 - 49,000 cfu/ml pseudomonas fluorescens, moderate pseudomonas fluorescens"
pseudomonas_luteola,,"few pseudomonas luteola, pseudomonas luteola"
pseudomonas_mendocina,,pseudomonas mendocina
pseudomonas_oryzihabitans,,"moderate pseudomonas oryzihabitans, pseudomonas oryzihabitans"
pseudomonas_putida,,"50,000 - 99,000 cfu/ml pseudomonas putida, rare pseudomonas putida"
pseudomonas_sp,Pseudomonas organism identified to the genus level only; species not further specified.,"pseudomonas species, pseudomonas sp. not aeruginosa"
pseudomonas_stutzeri,,"pseudomonas stutzeri, rare pseudomonas stutzeri"
psychrobacter_phenylpyruvicus,,psychrobacter phenylpyruvicus
psychrobacter_sp,Psychrobacter organism identified to the genus level only; species not further specified.,psychrobacter
purpureocillium_lilacinum,,"rare purpureocillium lilacinum, few purpureocillium lilacinum"
rahnella_aquatilis,,rahnella aquatilis
rahnella_sp,Rahnella organism identified to the genus level only; species not further specified.,
ralstonia_mannitolilytica,,many ralstonia mannitolilytica
ralstonia_pickettii,,ralstonia pickettii
ralstonia_sp,Ralstonia organism identified to the genus level only; species not further specified.,
raoultella_ornithinolytica,,">=100,000 cfu/ml raoultella ornithinolytica, 50,000 - 99,000 cfu/ml raoultella ornithinolytica"
raoultella_planticola,,"10,000 - 49,000 cfu/ml raoultella planticola, 50,000 - 99,000 cfu/ml raoultella planticola"
raoultella_sp,Raoultella organism identified to the genus level only; species not further specified.,">=100,000 cfu/ml raoultella, raoultella species"
rhinocladiella_sp,Rhinocladiella organism identified to the genus level only; species not further specified.,rhinocladiella species
rhizobium_radiobacter,,rhizobium radiobacter
rhizobium_sp,Rhizobium organism identified to the genus level only; species not further specified.,
rhizomucor_pusillus,,rare rhizomucor pusillus
rhizomucor_sp,Rhizomucor organism identified to the genus level only; species not further specified.,"rhizomucor sp., rare rhizomucor"
rhizopus_sp,Rhizopus organism identified to the genus level only; species not further specified.,"rhizomucor sp., rhizopus"
rhodococcus_sp,Rhodococcus organism identified to the genus level only; species not further specified.,rhodococcus sp.
rhodotorula_mucilaginosa,,"rare rhodotorula mucilaginosa, rhodotorula mucilaginosa"
rhodotorula_sp,Rhodotorula organism identified to the genus level only; species not further specified.,rhodotorula species
roseomonas_sp,Roseomonas organism identified to the genus level only; species not further specified.,roseomonas sp.
rothia_dentocariosa,,rothia dentocariosa
rothia_mucilaginosa,,"rothia (stomatococcus) mucilaginosa, rare rothia mucilaginosa"
rothia_sp,Rothia organism identified to the genus level only; species not further specified.,
saccharomyces_cerevisiae,,"many saccharomyces cerevisiae, rare saccharomyces cerevisiae"
saccharomyces_sp,Saccharomyces organism identified to the genus level only; species not further specified.,"moderate saccharomyces, few saccharomyces"
salmonella_enterica,,"isolated from broth only salmonella enterica ssp enterica, salmonella enterica"
salmonella_enteritidis,,salmonella enteritidis
salmonella_paratyphi,,paratyphi b var. l(+) tartrate+
salmonella_sp,Salmonella organism identified to the genus level only; species not further specified.,"salmonella species, salmonella"
saprochaete_capitata,,"saprochaete capitata (formerly blastoschizomyces capitatus), moderate saprochaete capitata"
saprochaete_sp,Saprochaete organism identified to the genus level only; species not further specified.,few saprochaete
scedosporium_apiospermum,,"scedosporium apiospermum, rare scedosporium apiospermum"
scopulariopsis_brevicaulis,,scopulariopsis brevicaulis
scopulariopsis_sp,Scopulariopsis organism identified to the genus level only; species not further specified. Common misspellings: scopulariopsi_sp.,"moderate scopulariopsis, scopulariopsis species"
serratia_fonticola,,serratia fonticola
serratia_liquefaciens,,"serratia liquefaciens, moderate serratia liquefaciens"
serratia_marcescens,,"moderate serratia marcescens, 50,000 - 99,000 cfu/ml serratia marcescens"
serratia_odorifera,,serratia odorifera
serratia_rubidaea,,moderate serratia rubidaea
serratia_sp,Serratia organism identified to the genus level only; species not further specified.,"serratia sp., serratia species"
shewanella_putrefaciens,,moderate shewanella putrefaciens
shewanella_sp,Shewanella organism identified to the genus level only; species not further specified.,"shewanella species, shewanella"
shigella_sonnei,,shigella sonnei
slackia_exigua,,slackia exigua
sphingomonas_paucimobilis,,"rare sphingomonas paucimobilis, sphingomonas paucimobilis"
sphingomonas_sp,Sphingomonas organism identified to the genus level only; species not further specified.,sphingomonas species
sporobolomyces_salmonicolor,,sporobolomyces salmonicolor
staphylococcus_aureus,,"few staphylococcus aureus, many methicillin-sensitive staphylococcus aureus"
staphylococcus_auricularis,,"rare staphylococcus auricularis, staphylococcus auricularis"
staphylococcus_capitis,,"few staphylococcus capitis, <1,000 cfu/ml staphylococcus captis"
staphylococcus_caprae,,staphylococcus caprae
staphylococcus_carnosus,,staphylococcus carnosus
staphylococcus_coagneg,Common misspellings: staphyloccous_coagneg.,"moderate staphylococcus coagulase negative, 60,000 cfu/gram of tissue staphylococcus coagulase negative"
staphylococcus_cohnii,,"staphylococcus cohnii, staphylococcus cohnii ssp urealyticus"
staphylococcus_epidermidis,,"<1,000 cfu/ml staphylococcus epidermidis, >=100,000 cfu/ml staphylococcus epidermidis"
staphylococcus_haemolyticus,,"isolated from broth only staphylococcus haemolyticus, many staphylococcus haemolyticus"
staphylococcus_hominis,,"rare staphylococcus hominis, isolated from broth only staphylococcus hominis"
staphylococcus_lugdunensis,,"few staphylococcus lugdunensis, rare staphylococcus lugdunensis"
staphylococcus_pasteuri,,"staphylococcus pasteuri, rare staphylococcus pasteuri"
staphylococcus_pettenkoferi,,staphylococcus pettenkoferi
staphylococcus_pseudintermedius,,"many staphylococcus pseudintermedius, rare staphylococcus pseudintermedius"
staphylococcus_saccharolyticus,,staphylococcus saccharolyticus
staphylococcus_saprophyticus,,"staphylococcus saprophyticus, >=100,000 cfu/ml staphylococcus saprophyticus"
staphylococcus_schleiferi,,"staphylococcus schleiferi, moderate staphylococcus schleiferi"
staphylococcus_sciuri,,staphylococcus sciuri
staphylococcus_simulans,,"10,000 staphylococcus simulans, staphylococcus simulans"
staphylococcus_sp,Staphylococcus organism identified to the genus level only; species not further specified.,staphylococcus species
staphylococcus_warneri,,"staphylococcus warneri, isolated from broth only staphylococcus warneri"
staphylococcus_xylosus,,staphylococcus xylosus
stenotrophomonas_maltophilia,,"50,000 - 99,000 cfu/ml stenotrophomonas maltophilia, moderate stenotrophomonas maltophilia"
stenotrophomonas_rhizophila,,moderate stenotrophomonas rhizophila
stenotrophomonas_sp,Stenotrophomonas organism identified to the genus level only; species not further specified.,"stenotrophomonas"
streptococcus_agalactiae,,streptococcus agalactiae
streptococcus_alphahemolytic,,"many alpha-hemolytic streptococcus, few alpha-hemolytic streptococcus"
streptococcus_anginosus,,"50,000 - 99,000 cfu/ml streptococcus anginosus, moderate streptococcus anginosus"
streptococcus_bovis,,"streptococcus bovis, streptococcus bovis group"
streptococcus_canis,,"streptococcus canis, rare streptococcus canis"
streptococcus_constellatus,,"moderate streptococcus constellatus, 10,000 - 49,000 cfu/ml streptococcus constellatus"
streptococcus_cristatus,,streptococcus cristatus
streptococcus_dysgalactiae,,"streptococcus dysgalactiae, few streptococcus dysgalactiae"
streptococcus_equinus,,streptococcus equinus
streptococcus_gallolyticus,,streptococcus gallolyticus (bovis group)
streptococcus_gordonii,,"streptococcus gordonii, rare streptococcus gordonii"
streptococcus_infantarius,,streptococcus infantarius
streptococcus_intermedius,,"rare streptococcus intermedius, moderate streptococcus intermedius"
streptococcus_mitis,,"moderate streptococcus mitis group, many streptococcus mitis"
streptococcus_mutans,,streptococcus mutans
streptococcus_nonhemolytic,,non-hemolytic streptococci
streptococcus_parasanguinis,,"streptococcus parasanguinis, rare streptococcus parasanguinis"
streptococcus_pneumoniae,,"streptococcus pneumoniae/ pseudopneumoniae, many streptococcus pneumoniae"
streptococcus_pseudoporcinus,,few streptococcus pseudoporcinus
streptococcus_pyogenes,Common misspellings: streptcoccus_pyogenes.,streptococcus pyogenes
streptococcus_salivarius,,"rare streptococcus salivarius group, streptococcus salivarius"
streptococcus_sanguinis,,"streptococcus sanguinis, streptococcus sanguinus group"
streptococcus_sp,Streptococcus organism identified to the genus level only; species not further specified.,"streptococcus species"
streptococcus_viridans,,"moderate streptococcus viridans, moderate streptococcus viridans group"
streptomyces_griseus,,streptomyces griseus
streptomyces_sp,Streptomyces organism identified to the genus level only; species not further specified.,streptomyces species
sutterella_sp,Sutterella organism identified to the genus level only; species not further specified.,sutterella species
syncephalastrum_sp,Syncephalastrum organism identified to the genus level only; species not further specified.,syncephalastrum sp.
teichospora_sp,Teichospora organism identified to the genus level only; species not further specified.,teichospora sp.
tissierella_praeacuta,,tissierella praeacuta
trichoderma_sp,Trichoderma organism identified to the genus level only; species not further specified.,trichoderma sp.
trichophyton_rubrum,,"rare trichophyton rubrum, trichophyton rubrum"
trichophyton_tonsurans,,trichophyton tonsurans
trichosporon_asahii,,"trichosporon asahii, few trichosporon asahii"
trichosporon_sp,Trichosporon organism identified to the genus level only; species not further specified.,trichosporon species
trueperella_bernardiae,,"many trueperella bernardiae, few trueperella bernardiae"
trueperella_sp,Trueperella organism identified to the genus level only; species not further specified.,
tuberculosis_nos_afb_kochbacillus,,
turicella_otitidis,,turicella otitidis
vagococcus_fluvialis,,vagococcus fluvialis
veillonella_sp,Veillonella organism identified to the genus level only; species not further specified.,"few veillonella, veillonella species"
verticillium_sp,Verticillium organism identified to the genus level only; species not further specified.,verticillium species
vibrio_sp,Vibrio organism identified to the genus level only; species not further specified.,vibrio species
virus_other,,
weeksella_sp,Weeksella organism identified to the genus level only; species not further specified.,
weeksella_virosa,,weeksella virosa
weissella_confusa,,"rare weissella confusa, weissella confusa"
weissella_sp,Weissella organism identified to the genus level only; species not further specified.,
xanthomonas_sp,Xanthomonas organism identified to the genus level only; species not further specified.,xanthomonas species
yeast,,"rare yeast, yeast"

zygomycete_sp,Zygomycete organism identified to the genus level only; species not further specified.,"few zygomycete, zygomycete species"

